지역,소재부품장비코드,소재부품장비코드명,사업체수,종업원수,부가가치세금액_백만원,생산금액_백만원,출하금액_백만원,재고금액_백만원
경기,정밀기기부품,26000,273,9399,1322728,3040844,3045107,147260
경기,수송기계부품,27000,654,39434,6023356,21408112,21395617,667023
경기,장비,30000,1696,62055,10929903,26390428,26188289,1041821
경기,정밀가공장비,31000,197,4346,506627,1181001,1184308,63409
경기,산업공정장비,32000,767,22073,3228627,8310544,8255277,351101
경기,반도체·디스플레이장비,33000,481,27618,5897653,14035636,13902458,507609
경기,제조로봇 자동화장비,34000,76,2413,344176,885729,876320,42676
경기,계측장비,35000,175,5605,952820,1977518,1969926,77026
대구,소재부품장비,00000,1445,52724,8220717,25102994,24710323,1550497
대구,소재,10000,341,10688,1437513,4383100,4347538,398394
대구,섬유제품,11000,168,4906,509353,1379874,1371198,134345
대구,화학물질 및 화학제품,12000,24,743,181299,395390,390878,74900
대구,고무 및 플라스틱제품,13000,86,2338,228238,742471,739956,40895
대구,비금속 광물제품,14000,20,467,79054,191543,179039,16805
대구,1차 금속제품,15000,43,2234,439569,1673822,1666467,131449
대구,부품,20000,921,36867,5939478,18644625,18319185,1006187
대구,금속가공제품,21000,285,8347,1169813,2757039,2730689,208264
대구,일반기계부품,22000,292,8031,975961,2486334,2472410,160921
대구,전기장비부품,24000,87,4882,1251981,5552318,5285036,387468
대구,전자부품,25000,27,2377,508643,1002174,987130,57706
대구,정밀기기부품,26000,18,439,47437,133613,132699,7866
대구,수송기계부품,27000,212,12791,1985643,6713147,6711221,183962
대구,장비,30000,183,5169,843726,2075269,2043600,145916
대구,정밀가공장비,31000,41,872,106287,279740,276031,22755
대구,산업공정장비,32000,103,2776,433111,1104154,1080180,99303
대구,반도체·디스플레이장비,33000,13,716,153517,282450,282383,8587
대구,제조로봇 자동화장비,34000,11,541,117684,341692,339305,13168
대구,계측장비,35000,15,264,33127,67233,65701,2103
경북,소재부품장비,00000,2545,141411,34339709,124023949,122797530,6297709
경북,소재,10000,896,50357,14624641,57309243,56805817,3453795
